title,abstract,authors,link,source,cleaned_abstract,kmeans_cluster,bertopic_topic
Lecture Notes: Neural Network Architectures,"These lecture notes provide an overview of Neural Network architectures from a mathematical point of view. Especially, Machine Learning with Neural Networks is seen as an optimization problem. Covered are an introduction to Neural Networks and the following architectures: Feedforward Neural Network, Convolutional Neural Network, ResNet, and Recurrent Neural Network.",Evelyn Herberg,http://arxiv.org/abs/2304.05133v2,arXiv,these lecture notes provide an overview of neural network architectures from a mathematical point of view especially machine learning with neural networks is seen as an optimization problem covered are an introduction to neural networks and the following architectures feedforward neural network convolutional neural network resnet and recurrent neural network,0,-1
Self-Organizing Multilayered Neural Networks of Optimal Complexity,The principles of self-organizing the neural networks of optimal complexity is considered under the unrepresentative learning set. The method of self-organizing the multi-layered neural networks is offered and used to train the logical neural networks which were applied to the medical diagnostics.,V. Schetinin,http://arxiv.org/abs/cs/0504056v1,arXiv,the principles of self-organizing the neural networks of optimal complexity is considered under the unrepresentative learning set the method of self-organizing the multi-layered neural networks is offered and used to train the logical neural networks which were applied to the medical diagnostics,3,-1
"Neural Network Processing Neural Networks: An efficient way to learn
  higher order functions","Functions are rich in meaning and can be interpreted in a variety of ways. Neural networks were proven to be capable of approximating a large class of functions[1]. In this paper, we propose a new class of neural networks called ""Neural Network Processing Neural Networks"" (NNPNNs), which inputs neural networks and numerical values, instead of just numerical values. Thus enabling neural networks to represent and process rich structures.",Firat Tuna,http://arxiv.org/abs/1911.05640v2,arXiv,functions are rich in meaning and can be interpreted in a variety of ways neural networks were proven to be capable of approximating a large class of functions 1 in this paper we propose a new class of neural networks called neural network processing neural networks nnpnns which inputs neural networks and numerical values instead of just numerical values thus enabling neural networks to represent and process rich structures,3,0
"Guaranteed Quantization Error Computation for Neural Network Model
  Compression","Neural network model compression techniques can address the computation issue of deep neural networks on embedded devices in industrial systems. The guaranteed output error computation problem for neural network compression with quantization is addressed in this paper. A merged neural network is built from a feedforward neural network and its quantized version to produce the exact output difference between two neural networks. Then, optimization-based methods and reachability analysis methods are applied to the merged neural network to compute the guaranteed quantization error. Finally, a numerical example is proposed to validate the applicability and effectiveness of the proposed approach.","Wesley Cooke, Zihao Mo, Weiming Xiang",http://arxiv.org/abs/2304.13812v1,arXiv,neural network model compression techniques can address the computation issue of deep neural networks on embedded devices in industrial systems the guaranteed output error computation problem for neural network compression with quantization is addressed in this paper a merged neural network is built from a feedforward neural network and its quantized version to produce the exact output difference between two neural networks then optimization-based methods and reachability analysis methods are applied to the merged neural network to compute the guaranteed quantization error finally a numerical example is proposed to validate the applicability and effectiveness of the proposed approach,3,0
Graph Structure of Neural Networks,"Neural networks are often represented as graphs of connections between neurons. However, despite their wide use, there is currently little understanding of the relationship between the graph structure of the neural network and its predictive performance. Here we systematically investigate how does the graph structure of neural networks affect their predictive performance. To this end, we develop a novel graph-based representation of neural networks called relational graph, where layers of neural network computation correspond to rounds of message exchange along the graph structure. Using this representation we show that: (1) a ""sweet spot"" of relational graphs leads to neural networks with significantly improved predictive performance; (2) neural network's performance is approximately a smooth function of the clustering coefficient and average path length of its relational graph; (3) our findings are consistent across many different tasks and datasets; (4) the sweet spot can be identified efficiently; (5) top-performing neural networks have graph structure surprisingly similar to those of real biological neural networks. Our work opens new directions for the design of neural architectures and the understanding on neural networks in general.","Jiaxuan You, Jure Leskovec, Kaiming He, Saining Xie",http://arxiv.org/abs/2007.06559v2,arXiv,neural networks are often represented as graphs of connections between neurons however despite their wide use there is currently little understanding of the relationship between the graph structure of the neural network and its predictive performance here we systematically investigate how does the graph structure of neural networks affect their predictive performance to this end we develop a novel graph-based representation of neural networks called relational graph where layers of neural network computation correspond to rounds of message exchange along the graph structure using this representation we show that 1 a sweet spot of relational graphs leads to neural networks with significantly improved predictive performance 2 neural network s performance is approximately a smooth function of the clustering coefficient and average path length of its relational graph 3 our findings are consistent across many different tasks and datasets 4 the sweet spot can be identified efficiently 5 top-performing neural networks have graph structure surprisingly similar to those of real biological neural networks our work opens new directions for the design of neural architectures and the understanding on neural networks in general,5,-1
"Hybrid Quantum-Classical Neural Networks for Downlink Beamforming
  Optimization","This paper investigates quantum machine learning to optimize the beamforming in a multiuser multiple-input single-output downlink system. We aim to combine the power of quantum neural networks and the success of classical deep neural networks to enhance the learning performance. Specifically, we propose two hybrid quantum-classical neural networks to maximize the sum rate of a downlink system. The first one proposes a quantum neural network employing parameterized quantum circuits that follows a classical convolutional neural network. The classical neural network can be jointly trained with the quantum neural network or pre-trained leading to a fine-tuning transfer learning method. The second one designs a quantum convolutional neural network to better extract features followed by a classical deep neural network. Our results demonstrate the feasibility of the proposed hybrid neural networks, and reveal that the first method can achieve similar sum rate performance compared to a benchmark classical neural network with significantly less training parameters; while the second method can achieve higher sum rate especially in presence of many users still with less training parameters. The robustness of the proposed methods is verified using both software simulators and hardware emulators considering noisy intermediate-scale quantum devices.","Juping Zhang, Gan Zheng, Toshiaki Koike-Akino, Kai-Kit Wong, Fraser Burton",http://arxiv.org/abs/2408.04747v1,arXiv,this paper investigates quantum machine learning to optimize the beamforming in a multiuser multiple-input single-output downlink system we aim to combine the power of quantum neural networks and the success of classical deep neural networks to enhance the learning performance specifically we propose two hybrid quantum-classical neural networks to maximize the sum rate of a downlink system the first one proposes a quantum neural network employing parameterized quantum circuits that follows a classical convolutional neural network the classical neural network can be jointly trained with the quantum neural network or pre-trained leading to a fine-tuning transfer learning method the second one designs a quantum convolutional neural network to better extract features followed by a classical deep neural network our results demonstrate the feasibility of the proposed hybrid neural networks and reveal that the first method can achieve similar sum rate performance compared to a benchmark classical neural network with significantly less training parameters while the second method can achieve higher sum rate especially in presence of many users still with less training parameters the robustness of the proposed methods is verified using both software simulators and hardware emulators considering noisy intermediate-scale quantum devices,2,-1
"A Novel Neural Filter to Improve Accuracy of Neural Network Models of
  Dynamic Systems","The application of neural networks in modeling dynamic systems has become prominent due to their ability to estimate complex nonlinear functions. Despite their effectiveness, neural networks face challenges in long-term predictions, where the prediction error diverges over time, thus degrading their accuracy. This paper presents a neural filter to enhance the accuracy of long-term state predictions of neural network-based models of dynamic systems. Motivated by the extended Kalman filter, the neural filter combines the neural network state predictions with the measurements from the physical system to improve the estimated state's accuracy. The neural filter's improvements in prediction accuracy are demonstrated through applications to four nonlinear dynamical systems. Numerical experiments show that the neural filter significantly improves prediction accuracy and bounds the state estimate covariance, outperforming the neural network predictions. Furthermore, it is also shown that the accuracy of a poorly trained neural network model can be improved to the same level as that of an adequately trained neural network model, potentially decreasing the training cost and required data to train a neural network.","Parham Oveissi, Turibius Rozario, Ankit Goel",http://arxiv.org/abs/2409.13654v2,arXiv,the application of neural networks in modeling dynamic systems has become prominent due to their ability to estimate complex nonlinear functions despite their effectiveness neural networks face challenges in long-term predictions where the prediction error diverges over time thus degrading their accuracy this paper presents a neural filter to enhance the accuracy of long-term state predictions of neural network-based models of dynamic systems motivated by the extended kalman filter the neural filter combines the neural network state predictions with the measurements from the physical system to improve the estimated state s accuracy the neural filter s improvements in prediction accuracy are demonstrated through applications to four nonlinear dynamical systems numerical experiments show that the neural filter significantly improves prediction accuracy and bounds the state estimate covariance outperforming the neural network predictions furthermore it is also shown that the accuracy of a poorly trained neural network model can be improved to the same level as that of an adequately trained neural network model potentially decreasing the training cost and required data to train a neural network,3,-1
Cortex Neural Network: learning with Neural Network groups,"Neural Network has been successfully applied to many real-world problems, such as image recognition and machine translation. However, for the current architecture of neural networks, it is hard to perform complex cognitive tasks, for example, to process the image and audio inputs together. Cortex, as an important architecture in the brain, is important for animals to perform the complex cognitive task. We view the architecture of Cortex in the brain as a missing part in the design of the current artificial neural network. In this paper, we purpose Cortex Neural Network (CrtxNN). The Cortex Neural Network is an upper architecture of neural networks which motivated from cerebral cortex in the brain to handle different tasks in the same learning system. It is able to identify different tasks and solve them with different methods. In our implementation, the Cortex Neural Network is able to process different cognitive tasks and perform reflection to get a higher accuracy. We provide a series of experiments to examine the capability of the cortex architecture on traditional neural networks. Our experiments proved its ability on the Cortex Neural Network can reach accuracy by 98.32% on MNIST and 62% on CIFAR10 at the same time, which can promisingly reduce the loss by 40%.",Liyao Gao,http://arxiv.org/abs/1804.03313v1,arXiv,neural network has been successfully applied to many real-world problems such as image recognition and machine translation however for the current architecture of neural networks it is hard to perform complex cognitive tasks for example to process the image and audio inputs together cortex as an important architecture in the brain is important for animals to perform the complex cognitive task we view the architecture of cortex in the brain as a missing part in the design of the current artificial neural network in this paper we purpose cortex neural network crtxnn the cortex neural network is an upper architecture of neural networks which motivated from cerebral cortex in the brain to handle different tasks in the same learning system it is able to identify different tasks and solve them with different methods in our implementation the cortex neural network is able to process different cognitive tasks and perform reflection to get a higher accuracy we provide a series of experiments to examine the capability of the cortex architecture on traditional neural networks our experiments proved its ability on the cortex neural network can reach accuracy by 98 32 on mnist and 62 on cifar10 at the same time which can promisingly reduce the loss by 40,3,-1
Parametrical Neural Networks and Some Other Similar Architectures,"A review of works on associative neural networks accomplished during last four years in the Institute of Optical Neural Technologies RAS is given. The presentation is based on description of parametrical neural networks (PNN). For today PNN have record recognizing characteristics (storage capacity, noise immunity and speed of operation). Presentation of basic ideas and principles is accentuated.",Leonid B. Litinskii,http://arxiv.org/abs/cs/0608073v1,arXiv,a review of works on associative neural networks accomplished during last four years in the institute of optical neural technologies ras is given the presentation is based on description of parametrical neural networks pnn for today pnn have record recognizing characteristics storage capacity noise immunity and speed of operation presentation of basic ideas and principles is accentuated,9,0
Assessing Intelligence in Artificial Neural Networks,"The purpose of this work was to develop of metrics to assess network architectures that balance neural network size and task performance. To this end, the concept of neural efficiency is introduced to measure neural layer utilization, and a second metric called artificial intelligence quotient (aIQ) was created to balance neural network performance and neural network efficiency. To study aIQ and neural efficiency, two simple neural networks were trained on MNIST: a fully connected network (LeNet-300-100) and a convolutional neural network (LeNet-5). The LeNet-5 network with the highest aIQ was 2.32% less accurate but contained 30,912 times fewer parameters than the highest accuracy network. Both batch normalization and dropout layers were found to increase neural efficiency. Finally, high aIQ networks are shown to be memorization and overtraining resistant, capable of learning proper digit classification with an accuracy of 92.51% even when 75% of the class labels are randomized. These results demonstrate the utility of aIQ and neural efficiency as metrics for balancing network performance and size.","Nicholas J. Schaub, Nathan Hotaling",http://arxiv.org/abs/2006.02909v1,arXiv,the purpose of this work was to develop of metrics to assess network architectures that balance neural network size and task performance to this end the concept of neural efficiency is introduced to measure neural layer utilization and a second metric called artificial intelligence quotient aiq was created to balance neural network performance and neural network efficiency to study aiq and neural efficiency two simple neural networks were trained on mnist a fully connected network lenet-300-100 and a convolutional neural network lenet-5 the lenet-5 network with the highest aiq was 2 32 less accurate but contained 30 912 times fewer parameters than the highest accuracy network both batch normalization and dropout layers were found to increase neural efficiency finally high aiq networks are shown to be memorization and overtraining resistant capable of learning proper digit classification with an accuracy of 92 51 even when 75 of the class labels are randomized these results demonstrate the utility of aiq and neural efficiency as metrics for balancing network performance and size,1,-1
