title,abstract,authors,link,source,cleaned_abstract,kmeans_cluster,bertopic_topic,x,y
"Multi-Class Plant Leaf Disease Detection: A CNN-based Approach with
  Mobile App Integration","Plant diseases significantly impact agricultural productivity, resulting in economic losses and food insecurity. Prompt and accurate detection is crucial for the efficient management and mitigation of plant diseases. This study investigates advanced techniques in plant disease detection, emphasizing the integration of image processing, machine learning, deep learning methods, and mobile technologies. High-resolution images of plant leaves were captured and analyzed using convolutional neural networks (CNNs) to detect symptoms of various diseases, such as blight, mildew, and rust. This study explores 14 classes of plants and diagnoses 26 unique plant diseases. We focus on common diseases affecting various crops. The model was trained on a diverse dataset encompassing multiple crops and disease types, achieving 98.14% accuracy in disease diagnosis. Finally integrated this model into mobile apps for real-time disease diagnosis.","Md Aziz Hosen Foysal, Foyez Ahmed, Md Zahurul Haque",http://arxiv.org/abs/2408.15289v1,arXiv,plant diseases significantly impact agricultural productivity resulting in economic losses and food insecurity prompt and accurate detection is crucial for the efficient management and mitigation of plant diseases this study investigates advanced techniques in plant disease detection emphasizing the integration of image processing machine learning deep learning methods and mobile technologies high-resolution images of plant leaves were captured and analyzed using convolutional neural networks cnns to detect symptoms of various diseases such as blight mildew and rust this study explores 14 classes of plants and diagnoses 26 unique plant diseases we focus on common diseases affecting various crops the model was trained on a diverse dataset encompassing multiple crops and disease types achieving 98 14 accuracy in disease diagnosis finally integrated this model into mobile apps for real-time disease diagnosis,4,0,9.761474,-5.2360554
Plant Disease Detection using Region-Based Convolutional Neural Network,"Agriculture plays an important role in the food and economy of Bangladesh. The rapid growth of population over the years also has increased the demand for food production. One of the major reasons behind low crop production is numerous bacteria, virus and fungal plant diseases. Early detection of plant diseases and proper usage of pesticides and fertilizers are vital for preventing the diseases and boost the yield. Most of the farmers use generalized pesticides and fertilizers in the entire fields without specifically knowing the condition of the plants. Thus the production cost oftentimes increases, and, not only that, sometimes this becomes detrimental to the yield. Deep Learning models are found to be very effective to automatically detect plant diseases from images of plants, thereby reducing the need for human specialists. This paper aims at building a lightweight deep learning model for predicting leaf disease in tomato plants. By modifying the region-based convolutional neural network, we design an efficient and effective model that demonstrates satisfactory empirical performance on a benchmark dataset. Our proposed model can easily be deployed in a larger system where drones take images of leaves and these images will be fed into our model to know the health condition.","Hasin Rehana, Muhammad Ibrahim, Md. Haider Ali",http://arxiv.org/abs/2303.09063v2,arXiv,agriculture plays an important role in the food and economy of bangladesh the rapid growth of population over the years also has increased the demand for food production one of the major reasons behind low crop production is numerous bacteria virus and fungal plant diseases early detection of plant diseases and proper usage of pesticides and fertilizers are vital for preventing the diseases and boost the yield most of the farmers use generalized pesticides and fertilizers in the entire fields without specifically knowing the condition of the plants thus the production cost oftentimes increases and not only that sometimes this becomes detrimental to the yield deep learning models are found to be very effective to automatically detect plant diseases from images of plants thereby reducing the need for human specialists this paper aims at building a lightweight deep learning model for predicting leaf disease in tomato plants by modifying the region-based convolutional neural network we design an efficient and effective model that demonstrates satisfactory empirical performance on a benchmark dataset our proposed model can easily be deployed in a larger system where drones take images of leaves and these images will be fed into our model to know the health condition,4,0,9.217209,-4.3901567
"A Wireless Collaborated Inference Acceleration Framework for Plant
  Disease Recognition","Plant disease is a critical factor affecting agricultural production. Traditional manual recognition methods face significant drawbacks, including low accuracy, high costs, and inefficiency. Deep learning techniques have demonstrated significant benefits in identifying plant diseases, but they still face challenges such as inference delays and high energy consumption. Deep learning algorithms are difficult to run on resource-limited embedded devices. Offloading these models to cloud servers is confronted with the restriction of communication bandwidth, and all of these factors will influence the inference's efficiency. We propose a collaborative inference framework for recognizing plant diseases between edge devices and cloud servers to enhance inference speed. The DNN model for plant disease recognition is pruned through deep reinforcement learning to improve the inference speed and reduce energy consumption. Then the optimal split point is determined by a greedy strategy to achieve the best collaborated inference acceleration. Finally, the system for collaborative inference acceleration in plant disease recognition has been implemented using Gradio to facilitate friendly human-machine interaction. Experiments indicate that the proposed collaborative inference framework significantly increases inference speed while maintaining acceptable recognition accuracy, offering a novel solution for rapidly diagnosing and preventing plant diseases.","Hele Zhu, Xinyi Huang, Haojia Gao, Mengfei Jiang, Haohua Que, Lei Mu",http://arxiv.org/abs/2505.02877v1,arXiv,plant disease is a critical factor affecting agricultural production traditional manual recognition methods face significant drawbacks including low accuracy high costs and inefficiency deep learning techniques have demonstrated significant benefits in identifying plant diseases but they still face challenges such as inference delays and high energy consumption deep learning algorithms are difficult to run on resource-limited embedded devices offloading these models to cloud servers is confronted with the restriction of communication bandwidth and all of these factors will influence the inference s efficiency we propose a collaborative inference framework for recognizing plant diseases between edge devices and cloud servers to enhance inference speed the dnn model for plant disease recognition is pruned through deep reinforcement learning to improve the inference speed and reduce energy consumption then the optimal split point is determined by a greedy strategy to achieve the best collaborated inference acceleration finally the system for collaborative inference acceleration in plant disease recognition has been implemented using gradio to facilitate friendly human-machine interaction experiments indicate that the proposed collaborative inference framework significantly increases inference speed while maintaining acceptable recognition accuracy offering a novel solution for rapidly diagnosing and preventing plant diseases,1,0,9.720022,-3.9108856
"A comprehensive review on Plant Leaf Disease detection using Deep
  learning","Leaf disease is a common fatal disease for plants. Early diagnosis and detection is necessary in order to improve the prognosis of leaf diseases affecting plant. For predicting leaf disease, several automated systems have already been developed using different plant pathology imaging modalities. This paper provides a systematic review of the literature on leaf disease-based models for the diagnosis of various plant leaf diseases via deep learning. The advantages and limitations of different deep learning models including Vision Transformer (ViT), Deep convolutional neural network (DCNN), Convolutional neural network (CNN), Residual Skip Network-based Super-Resolution for Leaf Disease Detection (RSNSR-LDD), Disease Detection Network (DDN), and YOLO (You only look once) are described in this review. The review also shows that the studies related to leaf disease detection applied different deep learning models to a number of publicly available datasets. For comparing the performance of the models, different metrics such as accuracy, precision, recall, etc. were used in the existing studies.","Sumaya Mustofa, Md Mehedi Hasan Munna, Yousuf Rayhan Emon, Golam Rabbany, Md Taimur Ahad",http://arxiv.org/abs/2308.14087v1,arXiv,leaf disease is a common fatal disease for plants early diagnosis and detection is necessary in order to improve the prognosis of leaf diseases affecting plant for predicting leaf disease several automated systems have already been developed using different plant pathology imaging modalities this paper provides a systematic review of the literature on leaf disease-based models for the diagnosis of various plant leaf diseases via deep learning the advantages and limitations of different deep learning models including vision transformer vit deep convolutional neural network dcnn convolutional neural network cnn residual skip network-based super-resolution for leaf disease detection rsnsr-ldd disease detection network ddn and yolo you only look once are described in this review the review also shows that the studies related to leaf disease detection applied different deep learning models to a number of publicly available datasets for comparing the performance of the models different metrics such as accuracy precision recall etc were used in the existing studies,4,0,10.000184,-5.495384
"Detection of healthy and diseased crops in drone captured images using
  Deep Learning","Monitoring plant health is crucial for maintaining agricultural productivity and food safety. Disruptions in the plant's normal state, caused by diseases, often interfere with essential plant activities, and timely detection of these diseases can significantly mitigate crop loss. In this study, we propose a deep learning-based approach for efficient detection of plant diseases using drone-captured imagery. A comprehensive database of various plant species, exhibiting numerous diseases, was compiled from the Internet and utilized as the training and test dataset. A Convolutional Neural Network (CNN), renowned for its performance in image classification tasks, was employed as our primary predictive model. The CNN model, trained on this rich dataset, demonstrated superior proficiency in crop disease categorization and detection, even under challenging imaging conditions. For field implementation, we deployed a prototype drone model equipped with a high-resolution camera for live monitoring of extensive agricultural fields. The captured images served as the input for our trained model, enabling real-time identification of healthy and diseased plants. Our approach promises an efficient and scalable solution for improving crop health monitoring systems.","Jai Vardhan, Kothapalli Sai Swetha",http://arxiv.org/abs/2305.13490v1,arXiv,monitoring plant health is crucial for maintaining agricultural productivity and food safety disruptions in the plant s normal state caused by diseases often interfere with essential plant activities and timely detection of these diseases can significantly mitigate crop loss in this study we propose a deep learning-based approach for efficient detection of plant diseases using drone-captured imagery a comprehensive database of various plant species exhibiting numerous diseases was compiled from the internet and utilized as the training and test dataset a convolutional neural network cnn renowned for its performance in image classification tasks was employed as our primary predictive model the cnn model trained on this rich dataset demonstrated superior proficiency in crop disease categorization and detection even under challenging imaging conditions for field implementation we deployed a prototype drone model equipped with a high-resolution camera for live monitoring of extensive agricultural fields the captured images served as the input for our trained model enabling real-time identification of healthy and diseased plants our approach promises an efficient and scalable solution for improving crop health monitoring systems,4,0,8.772235,-4.219095
"Deep Learning for Plant Identification and Disease Classification from
  Leaf Images: Multi-prediction Approaches","Deep learning plays an important role in modern agriculture, especially in plant pathology using leaf images where convolutional neural networks (CNN) are attracting a lot of attention. While numerous reviews have explored the applications of deep learning within this research domain, there remains a notable absence of an empirical study to offer insightful comparisons due to the employment of varied datasets in the evaluation. Furthermore, a majority of these approaches tend to address the problem as a singular prediction task, overlooking the multifaceted nature of predicting various aspects of plant species and disease types. Lastly, there is an evident need for a more profound consideration of the semantic relationships that underlie plant species and disease types. In this paper, we start our study by surveying current deep learning approaches for plant identification and disease classification. We categorise the approaches into multi-model, multi-label, multi-output, and multi-task, in which different backbone CNNs can be employed. Furthermore, based on the survey of existing approaches in plant pathology and the study of available approaches in machine learning, we propose a new model named Generalised Stacking Multi-output CNN (GSMo-CNN). To investigate the effectiveness of different backbone CNNs and learning approaches, we conduct an intensive experiment on three benchmark datasets Plant Village, Plant Leaves, and PlantDoc. The experimental results demonstrate that InceptionV3 can be a good choice for a backbone CNN as its performance is better than AlexNet, VGG16, ResNet101, EfficientNet, MobileNet, and a custom CNN developed by us. Interestingly, empirical results support the hypothesis that using a single model can be comparable or better than using two models. Finally, we show that the proposed GSMo-CNN achieves state-of-the-art performance on three benchmark datasets.","Jianping Yao, Son N. Tran, Saurabh Garg, Samantha Sawyer",http://arxiv.org/abs/2310.16273v1,arXiv,deep learning plays an important role in modern agriculture especially in plant pathology using leaf images where convolutional neural networks cnn are attracting a lot of attention while numerous reviews have explored the applications of deep learning within this research domain there remains a notable absence of an empirical study to offer insightful comparisons due to the employment of varied datasets in the evaluation furthermore a majority of these approaches tend to address the problem as a singular prediction task overlooking the multifaceted nature of predicting various aspects of plant species and disease types lastly there is an evident need for a more profound consideration of the semantic relationships that underlie plant species and disease types in this paper we start our study by surveying current deep learning approaches for plant identification and disease classification we categorise the approaches into multi-model multi-label multi-output and multi-task in which different backbone cnns can be employed furthermore based on the survey of existing approaches in plant pathology and the study of available approaches in machine learning we propose a new model named generalised stacking multi-output cnn gsmo-cnn to investigate the effectiveness of different backbone cnns and learning approaches we conduct an intensive experiment on three benchmark datasets plant village plant leaves and plantdoc the experimental results demonstrate that inceptionv3 can be a good choice for a backbone cnn as its performance is better than alexnet vgg16 resnet101 efficientnet mobilenet and a custom cnn developed by us interestingly empirical results support the hypothesis that using a single model can be comparable or better than using two models finally we show that the proposed gsmo-cnn achieves state-of-the-art performance on three benchmark datasets,4,0,8.880581,-5.0973907
"An Ensemble of Convolutional Neural Networks to Detect Foliar Diseases
  in Apple Plants","Apple diseases, if not diagnosed early, can lead to massive resource loss and pose a serious threat to humans and animals who consume the infected apples. Hence, it is critical to diagnose these diseases early in order to manage plant health and minimize the risks associated with them. However, the conventional approach of monitoring plant diseases entails manual scouting and analyzing the features, texture, color, and shape of the plant leaves, resulting in delayed diagnosis and misjudgments. Our work proposes an ensembled system of Xception, InceptionResNet, and MobileNet architectures to detect 5 different types of apple plant diseases. The model has been trained on the publicly available Plant Pathology 2021 dataset and can classify multiple diseases in a given plant leaf. The system has achieved outstanding results in multi-class and multi-label classification and can be used in a real-time setting to monitor large apple plantations to aid the farmers manage their yields effectively.","Kush Vora, Dishant Padalia",http://arxiv.org/abs/2210.00298v1,arXiv,apple diseases if not diagnosed early can lead to massive resource loss and pose a serious threat to humans and animals who consume the infected apples hence it is critical to diagnose these diseases early in order to manage plant health and minimize the risks associated with them however the conventional approach of monitoring plant diseases entails manual scouting and analyzing the features texture color and shape of the plant leaves resulting in delayed diagnosis and misjudgments our work proposes an ensembled system of xception inceptionresnet and mobilenet architectures to detect 5 different types of apple plant diseases the model has been trained on the publicly available plant pathology 2021 dataset and can classify multiple diseases in a given plant leaf the system has achieved outstanding results in multi-class and multi-label classification and can be used in a real-time setting to monitor large apple plantations to aid the farmers manage their yields effectively,3,0,10.662768,-3.6025288
"Explainable vision transformer enabled convolutional neural network for
  plant disease identification: PlantXViT","Plant diseases are the primary cause of crop losses globally, with an impact on the world economy. To deal with these issues, smart agriculture solutions are evolving that combine the Internet of Things and machine learning for early disease detection and control. Many such systems use vision-based machine learning methods for real-time disease detection and diagnosis. With the advancement in deep learning techniques, new methods have emerged that employ convolutional neural networks for plant disease detection and identification. Another trend in vision-based deep learning is the use of vision transformers, which have proved to be powerful models for classification and other problems. However, vision transformers have rarely been investigated for plant pathology applications. In this study, a Vision Transformer enabled Convolutional Neural Network model called ""PlantXViT"" is proposed for plant disease identification. The proposed model combines the capabilities of traditional convolutional neural networks with the Vision Transformers to efficiently identify a large number of plant diseases for several crops. The proposed model has a lightweight structure with only 0.8 million trainable parameters, which makes it suitable for IoT-based smart agriculture services. The performance of PlantXViT is evaluated on five publicly available datasets. The proposed PlantXViT network performs better than five state-of-the-art methods on all five datasets. The average accuracy for recognising plant diseases is shown to exceed 93.55%, 92.59%, and 98.33% on Apple, Maize, and Rice datasets, respectively, even under challenging background conditions. The efficiency in terms of explainability of the proposed model is evaluated using gradient-weighted class activation maps and Local Interpretable Model Agnostic Explanation.","Poornima Singh Thakur, Pritee Khanna, Tanuja Sheorey, Aparajita Ojha",http://arxiv.org/abs/2207.07919v1,arXiv,plant diseases are the primary cause of crop losses globally with an impact on the world economy to deal with these issues smart agriculture solutions are evolving that combine the internet of things and machine learning for early disease detection and control many such systems use vision-based machine learning methods for real-time disease detection and diagnosis with the advancement in deep learning techniques new methods have emerged that employ convolutional neural networks for plant disease detection and identification another trend in vision-based deep learning is the use of vision transformers which have proved to be powerful models for classification and other problems however vision transformers have rarely been investigated for plant pathology applications in this study a vision transformer enabled convolutional neural network model called plantxvit is proposed for plant disease identification the proposed model combines the capabilities of traditional convolutional neural networks with the vision transformers to efficiently identify a large number of plant diseases for several crops the proposed model has a lightweight structure with only 0 8 million trainable parameters which makes it suitable for iot-based smart agriculture services the performance of plantxvit is evaluated on five publicly available datasets the proposed plantxvit network performs better than five state-of-the-art methods on all five datasets the average accuracy for recognising plant diseases is shown to exceed 93 55 92 59 and 98 33 on apple maize and rice datasets respectively even under challenging background conditions the efficiency in terms of explainability of the proposed model is evaluated using gradient-weighted class activation maps and local interpretable model agnostic explanation,4,0,10.465907,-4.305883
"Explainability of Deep Learning-Based Plant Disease Classifiers Through
  Automated Concept Identification","While deep learning has significantly advanced automatic plant disease detection through image-based classification, improving model explainability remains crucial for reliable disease detection. In this study, we apply the Automated Concept-based Explanation (ACE) method to plant disease classification using the widely adopted InceptionV3 model and the PlantVillage dataset. ACE automatically identifies the visual concepts found in the image data and provides insights about the critical features influencing the model predictions. This approach reveals both effective disease-related patterns and incidental biases, such as those from background or lighting that can compromise model robustness. Through systematic experiments, ACE helped us to identify relevant features and pinpoint areas for targeted model improvement. Our findings demonstrate the potential of ACE to improve the explainability of plant disease classification based on deep learning, which is essential for producing transparent tools for plant disease management in agriculture.","Jihen Amara, Birgitta König-Ries, Sheeba Samuel",http://arxiv.org/abs/2412.07408v1,arXiv,while deep learning has significantly advanced automatic plant disease detection through image-based classification improving model explainability remains crucial for reliable disease detection in this study we apply the automated concept-based explanation ace method to plant disease classification using the widely adopted inceptionv3 model and the plantvillage dataset ace automatically identifies the visual concepts found in the image data and provides insights about the critical features influencing the model predictions this approach reveals both effective disease-related patterns and incidental biases such as those from background or lighting that can compromise model robustness through systematic experiments ace helped us to identify relevant features and pinpoint areas for targeted model improvement our findings demonstrate the potential of ace to improve the explainability of plant disease classification based on deep learning which is essential for producing transparent tools for plant disease management in agriculture,4,0,9.282216,-5.3143077
"PlantPlotGAN: A Physics-Informed Generative Adversarial Network for
  Plant Disease Prediction","Monitoring plantations is crucial for crop management and producing healthy harvests. Unmanned Aerial Vehicles (UAVs) have been used to collect multispectral images that aid in this monitoring. However, given the number of hectares to be monitored and the limitations of flight, plant disease signals become visually clear only in the later stages of plant growth and only if the disease has spread throughout a significant portion of the plantation. This limited amount of relevant data hampers the prediction models, as the algorithms struggle to generalize patterns with unbalanced or unrealistic augmented datasets effectively. To address this issue, we propose PlantPlotGAN, a physics-informed generative model capable of creating synthetic multispectral plot images with realistic vegetation indices. These indices served as a proxy for disease detection and were used to evaluate if our model could help increase the accuracy of prediction models. The results demonstrate that the synthetic imagery generated from PlantPlotGAN outperforms state-of-the-art methods regarding the Fr\'echet inception distance. Moreover, prediction models achieve higher accuracy metrics when trained with synthetic and original imagery for earlier plant disease detection compared to the training processes based solely on real imagery.","Felipe A. Lopes, Vasit Sagan, Flavio Esposito",http://arxiv.org/abs/2310.18268v1,arXiv,monitoring plantations is crucial for crop management and producing healthy harvests unmanned aerial vehicles uavs have been used to collect multispectral images that aid in this monitoring however given the number of hectares to be monitored and the limitations of flight plant disease signals become visually clear only in the later stages of plant growth and only if the disease has spread throughout a significant portion of the plantation this limited amount of relevant data hampers the prediction models as the algorithms struggle to generalize patterns with unbalanced or unrealistic augmented datasets effectively to address this issue we propose plantplotgan a physics-informed generative model capable of creating synthetic multispectral plot images with realistic vegetation indices these indices served as a proxy for disease detection and were used to evaluate if our model could help increase the accuracy of prediction models the results demonstrate that the synthetic imagery generated from plantplotgan outperforms state-of-the-art methods regarding the fr echet inception distance moreover prediction models achieve higher accuracy metrics when trained with synthetic and original imagery for earlier plant disease detection compared to the training processes based solely on real imagery,1,0,8.094629,-3.634606
