title,abstract,authors,link,source,cleaned_abstract
Lecture Notes: Neural Network Architectures,"These lecture notes provide an overview of Neural Network architectures from a mathematical point of view. Especially, Machine Learning with Neural Networks is seen as an optimization problem. Covered are an introduction to Neural Networks and the following architectures: Feedforward Neural Network, Convolutional Neural Network, ResNet, and Recurrent Neural Network.",Evelyn Herberg,http://arxiv.org/abs/2304.05133v2,arXiv,these lecture note provide an overview of neural network architecture from a mathematical point of view especially machine learn with neural network be see a an optimization problem cover be an introduction to neural network and the follow architecture feedforward neural network convolutional neural network resnet and recurrent neural network
Self-Organizing Multilayered Neural Networks of Optimal Complexity,The principles of self-organizing the neural networks of optimal complexity is considered under the unrepresentative learning set. The method of self-organizing the multi-layered neural networks is offered and used to train the logical neural networks which were applied to the medical diagnostics.,V. Schetinin,http://arxiv.org/abs/cs/0504056v1,arXiv,the principle of self-organizing the neural network of optimal complexity be consider under the unrepresentative learn set the method of self-organizing the multi-layered neural network be offer and use to train the logical neural network which be apply to the medical diagnostics
"Neural Network Processing Neural Networks: An efficient way to learn
  higher order functions","Functions are rich in meaning and can be interpreted in a variety of ways. Neural networks were proven to be capable of approximating a large class of functions[1]. In this paper, we propose a new class of neural networks called ""Neural Network Processing Neural Networks"" (NNPNNs), which inputs neural networks and numerical values, instead of just numerical values. Thus enabling neural networks to represent and process rich structures.",Firat Tuna,http://arxiv.org/abs/1911.05640v2,arXiv,function be rich in meaning and can be interpret in a variety of way neural network be proven to be capable of approximate a large class of function 1 in this paper we propose a new class of neural network call neural network processing neural network nnpnns which input neural network and numerical value instead of just numerical value thus enable neural network to represent and process rich structure
"Guaranteed Quantization Error Computation for Neural Network Model
  Compression","Neural network model compression techniques can address the computation issue of deep neural networks on embedded devices in industrial systems. The guaranteed output error computation problem for neural network compression with quantization is addressed in this paper. A merged neural network is built from a feedforward neural network and its quantized version to produce the exact output difference between two neural networks. Then, optimization-based methods and reachability analysis methods are applied to the merged neural network to compute the guaranteed quantization error. Finally, a numerical example is proposed to validate the applicability and effectiveness of the proposed approach.","Wesley Cooke, Zihao Mo, Weiming Xiang",http://arxiv.org/abs/2304.13812v1,arXiv,neural network model compression technique can address the computation issue of deep neural network on embed device in industrial system the guaranteed output error computation problem for neural network compression with quantization be address in this paper a merge neural network be built from a feedforward neural network and it quantize version to produce the exact output difference between two neural network then optimization-based method and reachability analysis method be apply to the merge neural network to compute the guaranteed quantization error finally a numerical example be propose to validate the applicability and effectiveness of the propose approach
Graph Structure of Neural Networks,"Neural networks are often represented as graphs of connections between neurons. However, despite their wide use, there is currently little understanding of the relationship between the graph structure of the neural network and its predictive performance. Here we systematically investigate how does the graph structure of neural networks affect their predictive performance. To this end, we develop a novel graph-based representation of neural networks called relational graph, where layers of neural network computation correspond to rounds of message exchange along the graph structure. Using this representation we show that: (1) a ""sweet spot"" of relational graphs leads to neural networks with significantly improved predictive performance; (2) neural network's performance is approximately a smooth function of the clustering coefficient and average path length of its relational graph; (3) our findings are consistent across many different tasks and datasets; (4) the sweet spot can be identified efficiently; (5) top-performing neural networks have graph structure surprisingly similar to those of real biological neural networks. Our work opens new directions for the design of neural architectures and the understanding on neural networks in general.","Jiaxuan You, Jure Leskovec, Kaiming He, Saining Xie",http://arxiv.org/abs/2007.06559v2,arXiv,neural network be often represent a graph of connection between neuron however despite their wide use there be currently little understand of the relationship between the graph structure of the neural network and it predictive performance here we systematically investigate how do the graph structure of neural network affect their predictive performance to this end we develop a novel graph-based representation of neural network call relational graph where layer of neural network computation correspond to round of message exchange along the graph structure use this representation we show that 1 a sweet spot of relational graph lead to neural network with significantly improve predictive performance 2 neural network s performance be approximately a smooth function of the cluster coefficient and average path length of it relational graph 3 our finding be consistent across many different task and datasets 4 the sweet spot can be identify efficiently 5 top-performing neural network have graph structure surprisingly similar to those of real biological neural network our work open new direction for the design of neural architecture and the understand on neural network in general
"Hybrid Quantum-Classical Neural Networks for Downlink Beamforming
  Optimization","This paper investigates quantum machine learning to optimize the beamforming in a multiuser multiple-input single-output downlink system. We aim to combine the power of quantum neural networks and the success of classical deep neural networks to enhance the learning performance. Specifically, we propose two hybrid quantum-classical neural networks to maximize the sum rate of a downlink system. The first one proposes a quantum neural network employing parameterized quantum circuits that follows a classical convolutional neural network. The classical neural network can be jointly trained with the quantum neural network or pre-trained leading to a fine-tuning transfer learning method. The second one designs a quantum convolutional neural network to better extract features followed by a classical deep neural network. Our results demonstrate the feasibility of the proposed hybrid neural networks, and reveal that the first method can achieve similar sum rate performance compared to a benchmark classical neural network with significantly less training parameters; while the second method can achieve higher sum rate especially in presence of many users still with less training parameters. The robustness of the proposed methods is verified using both software simulators and hardware emulators considering noisy intermediate-scale quantum devices.","Juping Zhang, Gan Zheng, Toshiaki Koike-Akino, Kai-Kit Wong, Fraser Burton",http://arxiv.org/abs/2408.04747v1,arXiv,this paper investigates quantum machine learn to optimize the beamforming in a multiuser multiple-input single-output downlink system we aim to combine the power of quantum neural network and the success of classical deep neural network to enhance the learn performance specifically we propose two hybrid quantum-classical neural network to maximize the sum rate of a downlink system the first one proposes a quantum neural network employ parameterized quantum circuit that follow a classical convolutional neural network the classical neural network can be jointly train with the quantum neural network or pre-trained lead to a fine-tuning transfer learn method the second one design a quantum convolutional neural network to well extract feature follow by a classical deep neural network our result demonstrate the feasibility of the propose hybrid neural network and reveal that the first method can achieve similar sum rate performance compare to a benchmark classical neural network with significantly less training parameter while the second method can achieve high sum rate especially in presence of many user still with less training parameter the robustness of the propose method be verify use both software simulator and hardware emulator consider noisy intermediate-scale quantum device
"A Novel Neural Filter to Improve Accuracy of Neural Network Models of
  Dynamic Systems","The application of neural networks in modeling dynamic systems has become prominent due to their ability to estimate complex nonlinear functions. Despite their effectiveness, neural networks face challenges in long-term predictions, where the prediction error diverges over time, thus degrading their accuracy. This paper presents a neural filter to enhance the accuracy of long-term state predictions of neural network-based models of dynamic systems. Motivated by the extended Kalman filter, the neural filter combines the neural network state predictions with the measurements from the physical system to improve the estimated state's accuracy. The neural filter's improvements in prediction accuracy are demonstrated through applications to four nonlinear dynamical systems. Numerical experiments show that the neural filter significantly improves prediction accuracy and bounds the state estimate covariance, outperforming the neural network predictions. Furthermore, it is also shown that the accuracy of a poorly trained neural network model can be improved to the same level as that of an adequately trained neural network model, potentially decreasing the training cost and required data to train a neural network.","Parham Oveissi, Turibius Rozario, Ankit Goel",http://arxiv.org/abs/2409.13654v2,arXiv,the application of neural network in model dynamic system have become prominent due to their ability to estimate complex nonlinear function despite their effectiveness neural network face challenge in long-term prediction where the prediction error diverges over time thus degrade their accuracy this paper present a neural filter to enhance the accuracy of long-term state prediction of neural network-based model of dynamic system motivate by the extend kalman filter the neural filter combine the neural network state prediction with the measurement from the physical system to improve the estimate state s accuracy the neural filter s improvement in prediction accuracy be demonstrate through application to four nonlinear dynamical system numerical experiment show that the neural filter significantly improves prediction accuracy and bound the state estimate covariance outperform the neural network prediction furthermore it be also show that the accuracy of a poorly train neural network model can be improve to the same level a that of an adequately train neural network model potentially decrease the training cost and require data to train a neural network
Cortex Neural Network: learning with Neural Network groups,"Neural Network has been successfully applied to many real-world problems, such as image recognition and machine translation. However, for the current architecture of neural networks, it is hard to perform complex cognitive tasks, for example, to process the image and audio inputs together. Cortex, as an important architecture in the brain, is important for animals to perform the complex cognitive task. We view the architecture of Cortex in the brain as a missing part in the design of the current artificial neural network. In this paper, we purpose Cortex Neural Network (CrtxNN). The Cortex Neural Network is an upper architecture of neural networks which motivated from cerebral cortex in the brain to handle different tasks in the same learning system. It is able to identify different tasks and solve them with different methods. In our implementation, the Cortex Neural Network is able to process different cognitive tasks and perform reflection to get a higher accuracy. We provide a series of experiments to examine the capability of the cortex architecture on traditional neural networks. Our experiments proved its ability on the Cortex Neural Network can reach accuracy by 98.32% on MNIST and 62% on CIFAR10 at the same time, which can promisingly reduce the loss by 40%.",Liyao Gao,http://arxiv.org/abs/1804.03313v1,arXiv,neural network have be successfully apply to many real-world problem such a image recognition and machine translation however for the current architecture of neural network it be hard to perform complex cognitive task for example to process the image and audio input together cortex a an important architecture in the brain be important for animal to perform the complex cognitive task we view the architecture of cortex in the brain a a miss part in the design of the current artificial neural network in this paper we purpose cortex neural network crtxnn the cortex neural network be an upper architecture of neural network which motivate from cerebral cortex in the brain to handle different task in the same learn system it be able to identify different task and solve them with different method in our implementation the cortex neural network be able to process different cognitive task and perform reflection to get a high accuracy we provide a series of experiment to examine the capability of the cortex architecture on traditional neural network our experiment prove it ability on the cortex neural network can reach accuracy by 98 32 on mnist and 62 on cifar10 at the same time which can promisingly reduce the loss by 40
Parametrical Neural Networks and Some Other Similar Architectures,"A review of works on associative neural networks accomplished during last four years in the Institute of Optical Neural Technologies RAS is given. The presentation is based on description of parametrical neural networks (PNN). For today PNN have record recognizing characteristics (storage capacity, noise immunity and speed of operation). Presentation of basic ideas and principles is accentuated.",Leonid B. Litinskii,http://arxiv.org/abs/cs/0608073v1,arXiv,a review of work on associative neural network accomplish during last four year in the institute of optical neural technology ra be give the presentation be base on description of parametrical neural network pnn for today pnn have record recognize characteristic storage capacity noise immunity and speed of operation presentation of basic idea and principle be accentuate
Assessing Intelligence in Artificial Neural Networks,"The purpose of this work was to develop of metrics to assess network architectures that balance neural network size and task performance. To this end, the concept of neural efficiency is introduced to measure neural layer utilization, and a second metric called artificial intelligence quotient (aIQ) was created to balance neural network performance and neural network efficiency. To study aIQ and neural efficiency, two simple neural networks were trained on MNIST: a fully connected network (LeNet-300-100) and a convolutional neural network (LeNet-5). The LeNet-5 network with the highest aIQ was 2.32% less accurate but contained 30,912 times fewer parameters than the highest accuracy network. Both batch normalization and dropout layers were found to increase neural efficiency. Finally, high aIQ networks are shown to be memorization and overtraining resistant, capable of learning proper digit classification with an accuracy of 92.51% even when 75% of the class labels are randomized. These results demonstrate the utility of aIQ and neural efficiency as metrics for balancing network performance and size.","Nicholas J. Schaub, Nathan Hotaling",http://arxiv.org/abs/2006.02909v1,arXiv,the purpose of this work be to develop of metric to assess network architecture that balance neural network size and task performance to this end the concept of neural efficiency be introduce to measure neural layer utilization and a second metric call artificial intelligence quotient aiq be create to balance neural network performance and neural network efficiency to study aiq and neural efficiency two simple neural network be train on mnist a fully connect network lenet-300-100 and a convolutional neural network lenet-5 the lenet-5 network with the high aiq be 2 32 less accurate but contain 30 912 time few parameter than the high accuracy network both batch normalization and dropout layer be found to increase neural efficiency finally high aiq network be show to be memorization and overtraining resistant capable of learn proper digit classification with an accuracy of 92 51 even when 75 of the class label be randomize these result demonstrate the utility of aiq and neural efficiency a metric for balance network performance and size
